baseline,period_days,frequency_hz,a95_hz,a95_bootstrap_median_hz,a95_lower_hz,a95_upper_hz,a95_std_hz,bootstrap_replicates,finite_bootstrap_replicates,n_test_phases_per_cell,uncertainty_source,tau_days
generalized_lomb_scargle,240.0,4.8225308641975306e-08,,1475.0,1475.0,1475.0,0.0,500,4,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
generalized_lomb_scargle,365.0,3.1709791983764586e-08,,6400.0,6400.0,6400.0,0.0,500,7,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
hierarchical_sinusoid_jitter,7.0,1.6534391534391535e-06,,6400.0,6400.0,6400.0,0.0,500,3,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
hierarchical_sinusoid_jitter,10.0,1.1574074074074074e-06,,6250.0,4435.0,6333.333333333333,715.2094790935403,500,227,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
hierarchical_sinusoid_jitter,14.0,8.267195767195768e-07,,6375.0,6310.0,6400.0,304.6952006753379,500,43,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
hierarchical_sinusoid_jitter,21.0,5.511463844797178e-07,6000.0,6000.0,4418.75,6250.0,820.8362891702279,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
hierarchical_sinusoid_jitter,30.0,3.8580246913580245e-07,,4435.0,4435.0,6250.0,1039.8556352739427,500,286,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
hierarchical_sinusoid_jitter,45.0,2.57201646090535e-07,6375.0,6375.0,6333.333333333333,6400.0,790.0174035969784,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
hierarchical_sinusoid_jitter,60.0,1.9290123456790122e-07,,6375.0,6333.333333333333,6400.0,29.856768274496602,500,45,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
hierarchical_sinusoid_jitter,90.0,1.286008230452675e-07,,6400.0,6400.0,6400.0,0.0,500,5,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
hierarchical_sinusoid_jitter,120.0,9.645061728395061e-08,6375.0,6375.0,6333.333333333333,6400.0,415.17738404052545,500,489,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
hierarchical_sinusoid_jitter,180.0,6.430041152263375e-08,,5409.375,4735.75,6083.0,990.625,500,2,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
hierarchical_sinusoid_jitter,240.0,4.8225308641975306e-08,,6400.0,6400.0,6400.0,0.0,500,25,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
hierarchical_sinusoid_jitter,365.0,3.1709791983764586e-08,6333.333333333333,6333.333333333333,6250.0,6375.0,502.24607086774046,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
random_forest_periodogram_features,7.0,1.6534391534391535e-06,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
random_forest_periodogram_features,10.0,1.1574074074074074e-06,,6375.0,6333.333333333333,6400.0,32.66608594141197,500,41,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
random_forest_periodogram_features,14.0,8.267195767195768e-07,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
random_forest_periodogram_features,21.0,5.511463844797178e-07,,6325.0,6274.0,6376.0,75.0,500,2,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
random_forest_periodogram_features,30.0,3.8580246913580245e-07,,492.5,492.5,6377.0,2936.700401055942,500,13,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
random_forest_periodogram_features,45.0,2.57201646090535e-07,,987.5,987.5,987.5,0.0,500,2,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
random_forest_periodogram_features,60.0,1.9290123456790122e-07,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
random_forest_periodogram_features,90.0,1.286008230452675e-07,,4435.0,4435.0,4435.0,0.0,500,2,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
random_forest_periodogram_features,120.0,9.645061728395061e-08,,6400.0,6400.0,6400.0,0.0,500,7,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
random_forest_periodogram_features,180.0,6.430041152263375e-08,,3150.0,3150.0,3150.0,0.0,500,3,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
random_forest_periodogram_features,240.0,4.8225308641975306e-08,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
random_forest_periodogram_features,365.0,3.1709791983764586e-08,,6375.0,6333.333333333333,6400.0,50.23038705118859,500,153,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
sbi_npe,7.0,1.6534391534391535e-06,,6400.0,6400.0,6400.0,0.0,500,22,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
sbi_npe,10.0,1.1574074074074074e-06,,6250.0,4435.0,6333.333333333333,734.2678108264082,500,179,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
sbi_npe,14.0,8.267195767195768e-07,,6375.0,6333.333333333333,6400.0,34.49095617611539,500,64,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
sbi_npe,21.0,5.511463844797178e-07,6250.0,6250.0,6000.0,6375.0,669.9005848564191,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
sbi_npe,30.0,3.8580246913580245e-07,,4435.0,4435.0,6250.0,824.912951671451,500,260,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
sbi_npe,45.0,2.57201646090535e-07,6250.0,6250.0,6000.0,6333.333333333333,557.4590091158672,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
sbi_npe,60.0,1.9290123456790122e-07,,6375.0,6333.333333333333,6400.0,582.5582438953053,500,40,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
sbi_npe,90.0,1.286008230452675e-07,,6250.0,3120.8999999999987,6375.0,2008.604929191919,500,60,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
sbi_npe,120.0,9.645061728395061e-08,6333.333333333333,6333.333333333333,6250.0,6375.0,706.3246284439809,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
sbi_npe,180.0,6.430041152263375e-08,6375.0,6375.0,6333.333333333333,6400.0,244.37542906327783,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
sbi_npe,240.0,4.8225308641975306e-08,,4435.0,4418.75,6000.0,840.2742205640889,500,281,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
sbi_npe,365.0,3.1709791983764586e-08,6333.333333333333,6333.333333333333,6250.0,6375.0,153.1377539269065,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
neural_cnn,7.0,1.6534391534391535e-06,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
neural_cnn,10.0,1.1574074074074074e-06,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
neural_cnn,14.0,8.267195767195768e-07,,6400.0,6400.0,6400.0,0.0,500,1,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
neural_cnn,21.0,5.511463844797178e-07,,6375.0,6250.0,6400.0,871.3268357476987,500,178,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
neural_cnn,30.0,3.8580246913580245e-07,,6333.333333333333,5499.2,6375.0,1404.8606714879854,500,49,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
neural_cnn,45.0,2.57201646090535e-07,,6333.333333333333,6250.0,6375.0,399.58241069424173,500,177,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
neural_cnn,60.0,1.9290123456790122e-07,,6400.0,6383.0,6400.0,11.785113019775793,500,3,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
neural_cnn,90.0,1.286008230452675e-07,,6387.5,6353.333333333333,6400.0,27.24311839712933,500,4,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
neural_cnn,120.0,9.645061728395061e-08,,6375.0,6333.333333333333,6400.0,63.97007006243475,500,163,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
neural_cnn,180.0,6.430041152263375e-08,6333.333333333333,6333.333333333333,6250.0,6375.0,210.85672533440805,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
neural_cnn,240.0,4.8225308641975306e-08,,6250.0,6000.0,6333.333333333333,631.900805710744,500,153,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
neural_cnn,365.0,3.1709791983764586e-08,,6375.0,6333.333333333333,6400.0,183.64189003792922,500,128,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
neural_transformer,7.0,1.6534391534391535e-06,,6400.0,4627.0,6400.0,1970.0,500,5,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
neural_transformer,10.0,1.1574074074074074e-06,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
neural_transformer,14.0,8.267195767195768e-07,,4426.875,4421.35,4432.4,8.125,500,2,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
neural_transformer,21.0,5.511463844797178e-07,,6333.333333333333,6250.0,6375.0,782.8308821481611,500,159,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
neural_transformer,30.0,3.8580246913580245e-07,,4435.0,4435.0,6333.333333333333,886.3058029721903,500,69,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
neural_transformer,45.0,2.57201646090535e-07,6333.333333333333,6333.333333333333,6250.0,6375.0,375.15959259952876,500,500,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
neural_transformer,60.0,1.9290123456790122e-07,,4435.0,4435.0,4435.0,0.0,500,1,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
neural_transformer,90.0,1.286008230452675e-07,,2165.0,925.7,2165.0,859.1347391416552,500,3,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
neural_transformer,120.0,9.645061728395061e-08,,6333.333333333333,6000.0,6375.0,942.311948935289,500,145,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
neural_transformer,180.0,6.430041152263375e-08,6400.0,6400.0,6375.0,6400.0,150.53611440568946,500,476,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
neural_transformer,240.0,4.8225308641975306e-08,,4435.0,4435.0,6333.333333333333,887.3511948416921,500,82,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
neural_transformer,365.0,3.1709791983764586e-08,,6333.333333333333,6010.0,6375.0,1133.0585017158899,500,70,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,180.0
