family,period_days,frequency_hz,amplitude_hz,is_primary_grid,coherence_days,slope_hz_per_day,center_day,width_days
pure_sinusoid,180.0,6.430041152263375e-08,200.0,True,,,,
pure_sinusoid,180.0,6.430041152263375e-08,350.0,True,,,,
pure_sinusoid,180.0,6.430041152263375e-08,500.0,True,,,,
pure_sinusoid,180.0,6.430041152263375e-08,750.0,True,,,,
pure_sinusoid,180.0,6.430041152263375e-08,1000.0,True,,,,
pure_sinusoid,180.0,6.430041152263375e-08,1500.0,True,,,,
pure_sinusoid,180.0,6.430041152263375e-08,2200.0,True,,,,
pure_sinusoid,180.0,6.430041152263375e-08,3200.0,True,,,,
pure_sinusoid,180.0,6.430041152263375e-08,4500.0,True,,,,
pure_sinusoid,180.0,6.430041152263375e-08,6500.0,True,,,,
pure_sinusoid,240.0,4.8225308641975306e-08,100.0,True,,,,
pure_sinusoid,240.0,4.8225308641975306e-08,200.0,True,,,,
pure_sinusoid,240.0,4.8225308641975306e-08,350.0,True,,,,
pure_sinusoid,240.0,4.8225308641975306e-08,500.0,True,,,,
pure_sinusoid,240.0,4.8225308641975306e-08,750.0,True,,,,
pure_sinusoid,240.0,4.8225308641975306e-08,1000.0,True,,,,
pure_sinusoid,240.0,4.8225308641975306e-08,1500.0,True,,,,
pure_sinusoid,240.0,4.8225308641975306e-08,2200.0,True,,,,
pure_sinusoid,240.0,4.8225308641975306e-08,3200.0,True,,,,
pure_sinusoid,240.0,4.8225308641975306e-08,4500.0,True,,,,
pure_sinusoid,240.0,4.8225308641975306e-08,6500.0,True,,,,
pure_sinusoid,365.0,3.1709791983764586e-08,100.0,True,,,,
pure_sinusoid,365.0,3.1709791983764586e-08,200.0,True,,,,
pure_sinusoid,365.0,3.1709791983764586e-08,350.0,True,,,,
pure_sinusoid,365.0,3.1709791983764586e-08,500.0,True,,,,
pure_sinusoid,365.0,3.1709791983764586e-08,750.0,True,,,,
pure_sinusoid,365.0,3.1709791983764586e-08,1000.0,True,,,,
pure_sinusoid,365.0,3.1709791983764586e-08,1500.0,True,,,,
pure_sinusoid,365.0,3.1709791983764586e-08,2200.0,True,,,,
pure_sinusoid,365.0,3.1709791983764586e-08,3200.0,True,,,,
pure_sinusoid,365.0,3.1709791983764586e-08,4500.0,True,,,,
pure_sinusoid,365.0,3.1709791983764586e-08,6500.0,True,,,,
finite_coherence_sinusoid,30.0,3.8580246913580245e-07,2200.0,False,90.0,,,
finite_coherence_sinusoid,90.0,1.286008230452675e-07,2200.0,False,90.0,,,
finite_coherence_sinusoid,180.0,6.430041152263375e-08,2200.0,False,90.0,,,
slow_linear_drift,,,,False,,2.0,,
slow_linear_drift,,,,False,,5.0,,
slow_linear_drift,,,,False,,10.0,,
gaussian_transient,,,3200.0,False,,,240.0,7.0
gaussian_transient,,,3200.0,False,,,240.0,21.0
gaussian_transient,,,3200.0,False,,,240.0,45.0
