period_days,frequency_hz,amplitude_hz,roc_auc,detection_rate_at_validation_fpr5,n_test_signal,n_test_null,baseline
60.0,1.9290123456790122e-07,350.0,0.5230303030303031,0.0,5,660,hierarchical_sinusoid_jitter
60.0,1.9290123456790122e-07,500.0,0.5863636363636364,0.2,5,660,hierarchical_sinusoid_jitter
60.0,1.9290123456790122e-07,750.0,0.4372727272727273,0.0,5,660,hierarchical_sinusoid_jitter
60.0,1.9290123456790122e-07,1000.0,0.6021212121212121,0.0,5,660,hierarchical_sinusoid_jitter
60.0,1.9290123456790122e-07,1500.0,0.7324242424242424,0.2,5,660,hierarchical_sinusoid_jitter
60.0,1.9290123456790122e-07,2200.0,0.9445454545454546,0.6,5,660,hierarchical_sinusoid_jitter
60.0,1.9290123456790122e-07,3200.0,1.0,1.0,5,660,hierarchical_sinusoid_jitter
60.0,1.9290123456790122e-07,4500.0,1.0,1.0,5,660,hierarchical_sinusoid_jitter
60.0,1.9290123456790122e-07,6500.0,1.0,1.0,5,660,hierarchical_sinusoid_jitter
90.0,1.286008230452675e-07,100.0,0.7136363636363636,0.2,5,660,hierarchical_sinusoid_jitter
90.0,1.286008230452675e-07,200.0,0.4584848484848485,0.0,5,660,hierarchical_sinusoid_jitter
90.0,1.286008230452675e-07,350.0,0.5984848484848485,0.2,5,660,hierarchical_sinusoid_jitter
90.0,1.286008230452675e-07,500.0,0.476060606060606,0.0,5,660,hierarchical_sinusoid_jitter
90.0,1.286008230452675e-07,750.0,0.8190909090909091,0.2,5,660,hierarchical_sinusoid_jitter
90.0,1.286008230452675e-07,1000.0,0.6509090909090909,0.0,5,660,hierarchical_sinusoid_jitter
90.0,1.286008230452675e-07,1500.0,0.9981818181818182,1.0,5,660,hierarchical_sinusoid_jitter
90.0,1.286008230452675e-07,2200.0,0.9984848484848485,1.0,5,660,hierarchical_sinusoid_jitter
90.0,1.286008230452675e-07,3200.0,1.0,1.0,5,660,hierarchical_sinusoid_jitter
90.0,1.286008230452675e-07,4500.0,1.0,1.0,5,660,hierarchical_sinusoid_jitter
90.0,1.286008230452675e-07,6500.0,1.0,1.0,5,660,hierarchical_sinusoid_jitter
120.0,9.645061728395061e-08,100.0,0.40727272727272723,0.0,5,660,hierarchical_sinusoid_jitter
120.0,9.645061728395061e-08,200.0,0.5457575757575758,0.0,5,660,hierarchical_sinusoid_jitter
120.0,9.645061728395061e-08,350.0,0.40424242424242424,0.0,5,660,hierarchical_sinusoid_jitter
120.0,9.645061728395061e-08,500.0,0.7572727272727273,0.2,5,660,hierarchical_sinusoid_jitter
120.0,9.645061728395061e-08,750.0,0.6715151515151515,0.2,5,660,hierarchical_sinusoid_jitter
120.0,9.645061728395061e-08,1000.0,0.9448484848484848,0.6,5,660,hierarchical_sinusoid_jitter
120.0,9.645061728395061e-08,1500.0,1.0,1.0,5,660,hierarchical_sinusoid_jitter
120.0,9.645061728395061e-08,2200.0,1.0,1.0,5,660,hierarchical_sinusoid_jitter
120.0,9.645061728395061e-08,3200.0,1.0,1.0,5,660,hierarchical_sinusoid_jitter
120.0,9.645061728395061e-08,4500.0,1.0,1.0,5,660,hierarchical_sinusoid_jitter
120.0,9.645061728395061e-08,6500.0,1.0,1.0,5,660,hierarchical_sinusoid_jitter
180.0,6.430041152263375e-08,100.0,0.5784848484848486,0.0,5,660,hierarchical_sinusoid_jitter
180.0,6.430041152263375e-08,200.0,0.5048484848484849,0.4,5,660,hierarchical_sinusoid_jitter
180.0,6.430041152263375e-08,350.0,0.5003030303030302,0.0,5,660,hierarchical_sinusoid_jitter
180.0,6.430041152263375e-08,500.0,0.6439393939393939,0.2,5,660,hierarchical_sinusoid_jitter
180.0,6.430041152263375e-08,750.0,0.44333333333333336,0.0,5,660,hierarchical_sinusoid_jitter
180.0,6.430041152263375e-08,1000.0,0.8157575757575758,0.0,5,660,hierarchical_sinusoid_jitter
180.0,6.430041152263375e-08,1500.0,0.5496969696969697,0.2,5,660,hierarchical_sinusoid_jitter
180.0,6.430041152263375e-08,2200.0,0.9745454545454546,0.8,5,660,hierarchical_sinusoid_jitter
180.0,6.430041152263375e-08,3200.0,0.9915151515151515,1.0,5,660,hierarchical_sinusoid_jitter
180.0,6.430041152263375e-08,4500.0,1.0,1.0,5,660,hierarchical_sinusoid_jitter
180.0,6.430041152263375e-08,6500.0,1.0,1.0,5,660,hierarchical_sinusoid_jitter
240.0,4.8225308641975306e-08,100.0,0.5257575757575759,0.0,5,660,hierarchical_sinusoid_jitter
240.0,4.8225308641975306e-08,200.0,0.5996969696969697,0.0,5,660,hierarchical_sinusoid_jitter
240.0,4.8225308641975306e-08,350.0,0.5684848484848485,0.2,5,660,hierarchical_sinusoid_jitter
240.0,4.8225308641975306e-08,500.0,0.6145454545454545,0.0,5,660,hierarchical_sinusoid_jitter
240.0,4.8225308641975306e-08,750.0,0.6715151515151516,0.2,5,660,hierarchical_sinusoid_jitter
240.0,4.8225308641975306e-08,1000.0,0.6457575757575758,0.0,5,660,hierarchical_sinusoid_jitter
240.0,4.8225308641975306e-08,1500.0,0.6221212121212122,0.0,5,660,hierarchical_sinusoid_jitter
240.0,4.8225308641975306e-08,2200.0,0.9221212121212121,0.6,5,660,hierarchical_sinusoid_jitter
240.0,4.8225308641975306e-08,3200.0,0.9957575757575757,1.0,5,660,hierarchical_sinusoid_jitter
240.0,4.8225308641975306e-08,4500.0,1.0,1.0,5,660,hierarchical_sinusoid_jitter
240.0,4.8225308641975306e-08,6500.0,1.0,1.0,5,660,hierarchical_sinusoid_jitter
365.0,3.1709791983764586e-08,100.0,0.43121212121212127,0.0,5,660,hierarchical_sinusoid_jitter
365.0,3.1709791983764586e-08,200.0,0.41060606060606064,0.0,5,660,hierarchical_sinusoid_jitter
365.0,3.1709791983764586e-08,350.0,0.6872727272727273,0.2,5,660,hierarchical_sinusoid_jitter
365.0,3.1709791983764586e-08,500.0,0.6336363636363636,0.2,5,660,hierarchical_sinusoid_jitter
365.0,3.1709791983764586e-08,750.0,0.49363636363636365,0.0,5,660,hierarchical_sinusoid_jitter
365.0,3.1709791983764586e-08,1000.0,0.5357575757575758,0.2,5,660,hierarchical_sinusoid_jitter
365.0,3.1709791983764586e-08,1500.0,0.9590909090909091,0.8,5,660,hierarchical_sinusoid_jitter
365.0,3.1709791983764586e-08,2200.0,0.9996969696969698,1.0,5,660,hierarchical_sinusoid_jitter
365.0,3.1709791983764586e-08,3200.0,1.0,1.0,5,660,hierarchical_sinusoid_jitter
365.0,3.1709791983764586e-08,4500.0,1.0,1.0,5,660,hierarchical_sinusoid_jitter
365.0,3.1709791983764586e-08,6500.0,1.0,1.0,5,660,hierarchical_sinusoid_jitter
