baseline,period_days,frequency_hz,a95_hz,a95_bootstrap_median_hz,a95_lower_hz,a95_upper_hz,a95_std_hz,bootstrap_replicates,finite_bootstrap_replicates,n_test_phases_per_cell,uncertainty_source,tau_days
hierarchical_sinusoid_jitter,120.0,9.645061728395061e-08,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
hierarchical_sinusoid_jitter,180.0,6.430041152263375e-08,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
hierarchical_sinusoid_jitter,240.0,4.8225308641975306e-08,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
hierarchical_sinusoid_jitter,365.0,3.1709791983764586e-08,,492.5,492.5,492.5,0.0,500,1,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
random_forest_periodogram_features,7.0,1.6534391534391535e-06,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
random_forest_periodogram_features,10.0,1.1574074074074074e-06,,2165.0,2165.0,2165.0,0.0,500,1,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
random_forest_periodogram_features,14.0,8.267195767195768e-07,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
random_forest_periodogram_features,21.0,5.511463844797178e-07,,4391.666666666666,4391.666666666666,4421.133333333333,20.427529234278325,500,3,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
random_forest_periodogram_features,30.0,3.8580246913580245e-07,,492.5,492.5,492.5,0.0,500,7,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
random_forest_periodogram_features,45.0,2.57201646090535e-07,,987.5,987.5,987.5,0.0,500,2,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
random_forest_periodogram_features,60.0,1.9290123456790122e-07,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
random_forest_periodogram_features,90.0,1.286008230452675e-07,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
random_forest_periodogram_features,120.0,9.645061728395061e-08,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
random_forest_periodogram_features,180.0,6.430041152263375e-08,,340.625,340.625,340.625,0.0,500,1,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
random_forest_periodogram_features,240.0,4.8225308641975306e-08,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
random_forest_periodogram_features,365.0,3.1709791983764586e-08,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
sbi_npe,7.0,1.6534391534391535e-06,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
sbi_npe,10.0,1.1574074074074074e-06,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
sbi_npe,14.0,8.267195767195768e-07,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
sbi_npe,21.0,5.511463844797178e-07,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
sbi_npe,30.0,3.8580246913580245e-07,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
sbi_npe,45.0,2.57201646090535e-07,,1475.0,1475.0,1475.0,0.0,500,1,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
sbi_npe,60.0,1.9290123456790122e-07,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
sbi_npe,90.0,1.286008230452675e-07,,1451.25,406.0,2165.0,901.7472189449768,500,4,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
sbi_npe,120.0,9.645061728395061e-08,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
sbi_npe,180.0,6.430041152263375e-08,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
sbi_npe,240.0,4.8225308641975306e-08,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
sbi_npe,365.0,3.1709791983764586e-08,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
neural_cnn,7.0,1.6534391534391535e-06,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
neural_cnn,10.0,1.1574074074074074e-06,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
neural_cnn,14.0,8.267195767195768e-07,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
neural_cnn,21.0,5.511463844797178e-07,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
neural_cnn,30.0,3.8580246913580245e-07,,737.5,737.5,737.5,0.0,500,3,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
neural_cnn,45.0,2.57201646090535e-07,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
neural_cnn,60.0,1.9290123456790122e-07,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
neural_cnn,90.0,1.286008230452675e-07,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
neural_cnn,120.0,9.645061728395061e-08,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
neural_cnn,180.0,6.430041152263375e-08,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
neural_cnn,240.0,4.8225308641975306e-08,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
neural_cnn,365.0,3.1709791983764586e-08,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
neural_transformer,7.0,1.6534391534391535e-06,,1475.0,1475.0,1475.0,0.0,500,1,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
neural_transformer,10.0,1.1574074074074074e-06,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
neural_transformer,14.0,8.267195767195768e-07,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
neural_transformer,21.0,5.511463844797178e-07,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
neural_transformer,30.0,3.8580246913580245e-07,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
neural_transformer,45.0,2.57201646090535e-07,,987.5,987.5,3320.75,1617.5067619642275,500,3,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
neural_transformer,60.0,1.9290123456790122e-07,,4435.0,4435.0,4435.0,0.0,500,4,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
neural_transformer,90.0,1.286008230452675e-07,,342.5,342.5,342.5,0.0,500,1,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
neural_transformer,120.0,9.645061728395061e-08,,2165.0,2165.0,2165.0,0.0,500,1,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
neural_transformer,180.0,6.430041152263375e-08,,6400.0,6400.0,6400.0,0.0,500,2,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
neural_transformer,240.0,4.8225308641975306e-08,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
neural_transformer,365.0,3.1709791983764586e-08,,,,,,500,0,5,validation-null threshold resampling plus test-phase resampling within each amplitude cell,30.0
