instance_id,family,split,label,slope_abs_hz_per_day,slope_hz_per_day,repeat_index,noise_seed,score_linear_drift,pred_slope_hz_per_day
linear_drift_s00_r12_y0,slow_linear_drift,train,0,0.5,0.0,12,279069,1.7280093120008146,-3.5556911132362177
linear_drift_s00_r12_y1,slow_linear_drift,train,1,0.5,0.5,12,1279069,2.707204013355863,4.450527405110594
linear_drift_s00_r13_y0,slow_linear_drift,train,0,0.5,0.0,13,279070,1.5311967770507167,-3.3470830632220374
linear_drift_s00_r13_y1,slow_linear_drift,train,1,0.5,-0.5,13,1279070,1.8545257250711629,3.683557199091618
linear_drift_s00_r14_y0,slow_linear_drift,validation,0,0.5,0.0,14,279071,0.018102370963418934,0.363930720516514
linear_drift_s00_r14_y1,slow_linear_drift,validation,1,0.5,0.5,14,1279071,0.5092826629660223,1.9303249901447148
linear_drift_s00_r15_y0,slow_linear_drift,validation,0,0.5,0.0,15,279072,0.3205355850996341,-1.5314016563521282
linear_drift_s00_r15_y1,slow_linear_drift,validation,1,0.5,-0.5,15,1279072,0.7017808249505322,2.2659573739098016
linear_drift_s00_r16_y0,slow_linear_drift,validation,0,0.5,0.0,16,279073,3.0111769698870106,-4.693741059775878
linear_drift_s00_r16_y1,slow_linear_drift,validation,1,0.5,0.5,16,1279073,0.0349405360167907,0.5056101324220829
linear_drift_s00_r17_y0,slow_linear_drift,validation,0,0.5,0.0,17,279074,0.23636547299400945,1.3150522411950756
linear_drift_s00_r17_y1,slow_linear_drift,validation,1,0.5,-0.5,17,1279074,3.839576505801041,-5.300204785001509
linear_drift_s00_r18_y0,slow_linear_drift,validation,0,0.5,0.0,18,279075,0.43305933835468835,1.7800192174425193
linear_drift_s00_r18_y1,slow_linear_drift,validation,1,0.5,0.5,18,1279075,1.2743307719148973,3.053458854498407
linear_drift_s00_r19_y0,slow_linear_drift,test,0,0.5,0.0,19,279076,0.31307360312310095,-1.5134713800722448
linear_drift_s00_r19_y1,slow_linear_drift,test,1,0.5,-0.5,19,1279076,0.013349737818408869,-0.31252686484609604
linear_drift_s00_r20_y0,slow_linear_drift,test,0,0.5,0.0,20,279077,0.019849272800186668,0.3810862570853337
linear_drift_s00_r20_y1,slow_linear_drift,test,1,0.5,0.5,20,1279077,0.056105933279717135,0.640700971494912
linear_drift_s00_r21_y0,slow_linear_drift,test,0,0.5,0.0,21,279078,1.2737863123615156,-3.052806487588075
linear_drift_s00_r21_y1,slow_linear_drift,test,1,0.5,-0.5,21,1279078,0.07059047859651457,-0.7186609550877314
linear_drift_s00_r22_y0,slow_linear_drift,test,0,0.5,0.0,22,279079,0.13498193471562558,-0.9937767029281317
linear_drift_s00_r22_y1,slow_linear_drift,test,1,0.5,0.5,22,1279079,0.067911042106509,0.7048897322364699
linear_drift_s00_r23_y0,slow_linear_drift,test,0,0.5,0.0,23,279080,0.4427642081963796,1.7998538455395967
linear_drift_s00_r23_y1,slow_linear_drift,test,1,0.5,-0.5,23,1279080,3.124138147468372,-4.780970918376135
linear_drift_s01_r00_y0,slow_linear_drift,train,0,1.0,0.0,0,329057,0.18109532048001142,-1.1510775961757287
linear_drift_s01_r00_y1,slow_linear_drift,train,1,1.0,1.0,0,1329057,2.461971791770246,-4.244167577988408
linear_drift_s01_r01_y0,slow_linear_drift,train,0,1.0,0.0,1,329058,3.908201923021558,5.347360751455235
linear_drift_s01_r01_y1,slow_linear_drift,train,1,1.0,-1.0,1,1329058,0.001207662455477987,-0.09399911603053832
linear_drift_s01_r02_y0,slow_linear_drift,train,0,1.0,0.0,2,329059,0.14881394874144505,1.043452796731544
linear_drift_s01_r02_y1,slow_linear_drift,train,1,1.0,1.0,2,1329059,0.6538530056000411,2.1872128526481944
linear_drift_s01_r03_y0,slow_linear_drift,train,0,1.0,0.0,3,329060,0.5522595608931837,-2.010122888177947
linear_drift_s01_r03_y1,slow_linear_drift,train,1,1.0,-1.0,3,1329060,0.05695543055671948,0.6455331607480163
linear_drift_s01_r04_y0,slow_linear_drift,train,0,1.0,0.0,4,329061,3.3738914182259236,4.968399825433738
linear_drift_s01_r04_y1,slow_linear_drift,train,1,1.0,1.0,4,1329061,0.12804416970883636,-0.9679008944992669
linear_drift_s01_r05_y0,slow_linear_drift,train,0,1.0,0.0,5,329062,0.8018416652740683,-2.4221179975052487
linear_drift_s01_r05_y1,slow_linear_drift,train,1,1.0,-1.0,5,1329062,1.9269925125665353,-3.7548362383814804
linear_drift_s01_r06_y0,slow_linear_drift,train,0,1.0,0.0,6,329063,0.04371998939760857,0.5655760507494978
linear_drift_s01_r06_y1,slow_linear_drift,train,1,1.0,1.0,6,1329063,0.58674953003014,2.071940894344386
linear_drift_s01_r07_y0,slow_linear_drift,train,0,1.0,0.0,7,329064,0.002323762922820549,-0.1303907838256169
linear_drift_s01_r07_y1,slow_linear_drift,train,1,1.0,-1.0,7,1329064,0.0005977810102919534,-0.06613358174403862
linear_drift_s01_r08_y0,slow_linear_drift,train,0,1.0,0.0,8,329065,0.14079296804047203,1.0149425714149303
linear_drift_s01_r08_y1,slow_linear_drift,train,1,1.0,1.0,8,1329065,0.2325342490084168,-1.3043509256813568
linear_drift_s01_r09_y0,slow_linear_drift,train,0,1.0,0.0,9,329066,0.043179776454095986,0.5620710043644002
linear_drift_s01_r09_y1,slow_linear_drift,train,1,1.0,-1.0,9,1329066,1.0445545300606156,-2.7644996894467884
linear_drift_s01_r10_y0,slow_linear_drift,train,0,1.0,0.0,10,329067,0.8743504973094218,2.529261700537288
linear_drift_s01_r10_y1,slow_linear_drift,train,1,1.0,1.0,10,1329067,0.10607441867881562,-0.8809602586828027
linear_drift_s01_r11_y0,slow_linear_drift,train,0,1.0,0.0,11,329068,0.2322803572038481,-1.3036386554325687
linear_drift_s01_r11_y1,slow_linear_drift,train,1,1.0,-1.0,11,1329068,1.274281173826111,-3.0533994322509366
linear_drift_s01_r12_y0,slow_linear_drift,train,0,1.0,0.0,12,329069,2.002713925919103,-3.8278987850140833
linear_drift_s01_r12_y1,slow_linear_drift,train,1,1.0,1.0,12,1329069,0.7146523156164903,-2.2866431242409435
linear_drift_s01_r13_y0,slow_linear_drift,train,0,1.0,0.0,13,329070,0.011186376349257898,-0.2860854036622126
linear_drift_s01_r13_y1,slow_linear_drift,train,1,1.0,-1.0,13,1329070,0.39380849473376145,-1.697436462651244
linear_drift_s01_r14_y0,slow_linear_drift,validation,0,1.0,0.0,14,329071,0.12797080397715632,0.9676235646833963
linear_drift_s01_r14_y1,slow_linear_drift,validation,1,1.0,1.0,14,1329071,1.3748691318434965,-3.1716237971238415
linear_drift_s01_r15_y0,slow_linear_drift,validation,0,1.0,0.0,15,329072,0.8476836096848643,-2.4903929603027595
linear_drift_s01_r15_y1,slow_linear_drift,validation,1,1.0,-1.0,15,1329072,0.0016914313649181167,-0.11124440483623331
linear_drift_s01_r16_y0,slow_linear_drift,validation,0,1.0,0.0,16,329073,2.6141437375046053,-4.373364937287188
linear_drift_s01_r16_y1,slow_linear_drift,validation,1,1.0,1.0,16,1329073,0.0015704568405823238,0.10719239879447372
linear_drift_s01_r17_y0,slow_linear_drift,validation,0,1.0,0.0,17,329074,0.1872772705910748,-1.170559577426791
linear_drift_s01_r17_y1,slow_linear_drift,validation,1,1.0,-1.0,17,1329074,0.2863622241590207,-1.4474675973521305
linear_drift_s01_r18_y0,slow_linear_drift,validation,0,1.0,0.0,18,329075,1.3822009101716048e-05,-0.01005626187417827
linear_drift_s01_r18_y1,slow_linear_drift,validation,1,1.0,1.0,18,1329075,0.01592707849819419,-0.34136504423147923
linear_drift_s01_r19_y0,slow_linear_drift,test,0,1.0,0.0,19,329076,0.25685629832312173,1.3708694453985646
linear_drift_s01_r19_y1,slow_linear_drift,test,1,1.0,-1.0,19,1329076,0.08839461777476743,-0.8041996840930788
linear_drift_s01_r20_y0,slow_linear_drift,test,0,1.0,0.0,20,329077,0.23085406330705638,-1.299630062113878
linear_drift_s01_r20_y1,slow_linear_drift,test,1,1.0,1.0,20,1329077,1.0150217315862733,-2.7251389892756714
linear_drift_s01_r21_y0,slow_linear_drift,test,0,1.0,0.0,21,329078,0.0751532210359187,-0.7415232738040082
linear_drift_s01_r21_y1,slow_linear_drift,test,1,1.0,-1.0,21,1329078,0.0444703637591104,0.5704089458130237
linear_drift_s01_r22_y0,slow_linear_drift,test,0,1.0,0.0,22,329079,2.016999976017125,-3.841527385849081
linear_drift_s01_r22_y1,slow_linear_drift,test,1,1.0,1.0,22,1329079,2.198544596252482,-4.010685674506021
linear_drift_s01_r23_y0,slow_linear_drift,test,0,1.0,0.0,23,329080,0.0019657895388576208,0.11992769781411441
linear_drift_s01_r23_y1,slow_linear_drift,test,1,1.0,-1.0,23,1329080,0.3852967226383299,-1.678992068284617
linear_drift_s02_r00_y0,slow_linear_drift,train,0,2.0,0.0,0,429057,0.11809443364180794,0.929534901325882
linear_drift_s02_r00_y1,slow_linear_drift,train,1,2.0,2.0,0,1429057,1.0327404290484168,2.7488217370541714
linear_drift_s02_r01_y0,slow_linear_drift,train,0,2.0,0.0,1,429058,0.6873524418226111,2.2425427300746628
linear_drift_s02_r01_y1,slow_linear_drift,train,1,2.0,-2.0,1,1429058,0.49218250994187684,1.897641088854424
linear_drift_s02_r02_y0,slow_linear_drift,train,0,2.0,0.0,2,429059,0.00010110184628331353,-0.027197596745920746
linear_drift_s02_r02_y1,slow_linear_drift,train,1,2.0,2.0,2,1429059,0.6568884474570638,2.192283923537034
linear_drift_s02_r03_y0,slow_linear_drift,train,0,2.0,0.0,3,429060,0.05173437270592984,-0.6152343579894709
linear_drift_s02_r03_y1,slow_linear_drift,train,1,2.0,-2.0,3,1429060,7.428355638753111,-7.372203773270094
linear_drift_s02_r04_y0,slow_linear_drift,train,0,2.0,0.0,4,429061,1.3543227664822197,-3.1478358460844666
linear_drift_s02_r04_y1,slow_linear_drift,train,1,2.0,2.0,4,1429061,1.4774827796550198,3.287851553765694
linear_drift_s02_r05_y0,slow_linear_drift,train,0,2.0,0.0,5,429062,0.15349782266449097,-1.0597467583671285
linear_drift_s02_r05_y1,slow_linear_drift,train,1,2.0,-2.0,5,1429062,6.2164716505350555,-6.744083919673555
linear_drift_s02_r06_y0,slow_linear_drift,train,0,2.0,0.0,6,429063,0.9374677519304129,2.6189617506890555
linear_drift_s02_r06_y1,slow_linear_drift,train,1,2.0,2.0,6,1429063,0.12035827773642183,0.9384020964379313
linear_drift_s02_r07_y0,slow_linear_drift,train,0,2.0,0.0,7,429064,0.022452272651214855,0.4053042341650092
linear_drift_s02_r07_y1,slow_linear_drift,train,1,2.0,-2.0,7,1429064,5.354990404477853,-6.259365841556069
linear_drift_s02_r08_y0,slow_linear_drift,train,0,2.0,0.0,8,429065,1.0262894874121145,-2.740223125965498
linear_drift_s02_r08_y1,slow_linear_drift,train,1,2.0,2.0,8,1429065,0.4267963813969686,1.7671009133316669
linear_drift_s02_r09_y0,slow_linear_drift,train,0,2.0,0.0,9,429066,0.5590134259097894,2.0223769478894935
linear_drift_s02_r09_y1,slow_linear_drift,train,1,2.0,-2.0,9,1429066,1.9394628969273384,-3.7669662129520765
linear_drift_s02_r10_y0,slow_linear_drift,train,0,2.0,0.0,10,429067,0.15682097917394344,1.0711568456271796
linear_drift_s02_r10_y1,slow_linear_drift,train,1,2.0,2.0,10,1429067,1.7997965714960813,3.6287971947018973
linear_drift_s02_r11_y0,slow_linear_drift,train,0,2.0,0.0,11,429068,6.947243844482735,7.129470204866729
linear_drift_s02_r11_y1,slow_linear_drift,train,1,2.0,-2.0,11,1429068,0.3142961519481915,-1.5164235450176107
linear_drift_s02_r12_y0,slow_linear_drift,train,0,2.0,0.0,12,429069,1.333092628507508,-3.1230659152729987
linear_drift_s02_r12_y1,slow_linear_drift,train,1,2.0,2.0,12,1429069,1.9903004579164119,3.816017067970391
linear_drift_s02_r13_y0,slow_linear_drift,train,0,2.0,0.0,13,429070,0.06184776475532061,-0.672686932508372
linear_drift_s02_r13_y1,slow_linear_drift,train,1,2.0,-2.0,13,1429070,2.7352823031753886,-4.473547622136489
linear_drift_s02_r14_y0,slow_linear_drift,validation,0,2.0,0.0,14,429071,1.6934505679453835,-3.519956116005054
linear_drift_s02_r14_y1,slow_linear_drift,validation,1,2.0,2.0,14,1429071,1.3607299937817459,3.1552731800919496
linear_drift_s02_r15_y0,slow_linear_drift,validation,0,2.0,0.0,15,429072,0.5746622397050061,-2.0504884041747
linear_drift_s02_r15_y1,slow_linear_drift,validation,1,2.0,-2.0,15,1429072,4.064866930221896,-5.4534853835761945
linear_drift_s02_r16_y0,slow_linear_drift,validation,0,2.0,0.0,16,429073,3.909951673545649,-5.34855765740271
linear_drift_s02_r16_y1,slow_linear_drift,validation,1,2.0,2.0,16,1429073,2.643030598943163,4.397461871775276
linear_drift_s02_r17_y0,slow_linear_drift,validation,0,2.0,0.0,17,429074,0.56495508872149,-2.033096297496917
linear_drift_s02_r17_y1,slow_linear_drift,validation,1,2.0,-2.0,17,1429074,0.08509062221983044,-0.7890269491607853
linear_drift_s02_r18_y0,slow_linear_drift,validation,0,2.0,0.0,18,429075,0.10086977939290875,0.8590758738584731
linear_drift_s02_r18_y1,slow_linear_drift,validation,1,2.0,2.0,18,1429075,1.1432051794679623,2.8920984903531624
linear_drift_s02_r19_y0,slow_linear_drift,test,0,2.0,0.0,19,429076,0.37126206830564,1.6481292875931595
linear_drift_s02_r19_y1,slow_linear_drift,test,1,2.0,-2.0,19,1429076,2.530375184506056,-4.302723583546112
linear_drift_s02_r20_y0,slow_linear_drift,test,0,2.0,0.0,20,429077,1.0328587490542986,2.7489791973800486
linear_drift_s02_r20_y1,slow_linear_drift,test,1,2.0,2.0,20,1429077,0.28867805704510374,-1.4533087015374737
linear_drift_s02_r21_y0,slow_linear_drift,test,0,2.0,0.0,21,429078,1.1639916254113416,-2.9182729855851486
linear_drift_s02_r21_y1,slow_linear_drift,test,1,2.0,-2.0,21,1429078,1.0172759284956427,-2.7281633545819144
linear_drift_s02_r22_y0,slow_linear_drift,test,0,2.0,0.0,22,429079,0.03741538573388681,0.523210077764404
linear_drift_s02_r22_y1,slow_linear_drift,test,1,2.0,2.0,22,1429079,0.020319034400223757,0.3855693646856915
linear_drift_s02_r23_y0,slow_linear_drift,test,0,2.0,0.0,23,429080,0.12025741607051543,0.9380088179778475
linear_drift_s02_r23_y1,slow_linear_drift,test,1,2.0,-2.0,23,1429080,4.696707370884269,-5.862025970646235
linear_drift_s03_r00_y0,slow_linear_drift,train,0,3.0,0.0,0,529057,0.2713610120320311,-1.4090445100793898
linear_drift_s03_r00_y1,slow_linear_drift,train,1,3.0,3.0,0,1529057,0.8557936581827761,2.502277777324777
linear_drift_s03_r01_y0,slow_linear_drift,train,0,3.0,0.0,1,529058,0.5620583929096696,2.027877449070096
linear_drift_s03_r01_y1,slow_linear_drift,train,1,3.0,-3.0,1,1529058,1.897992770474069,-3.726475445967918
linear_drift_s03_r02_y0,slow_linear_drift,train,0,3.0,0.0,2,529059,0.00021859615164032675,-0.039991918901235636
linear_drift_s03_r02_y1,slow_linear_drift,train,1,3.0,3.0,2,1529059,2.921585061702615,4.6233870763050495
linear_drift_s03_r03_y0,slow_linear_drift,train,0,3.0,0.0,3,529060,0.8020190470987245,-2.4223858907628033
linear_drift_s03_r03_y1,slow_linear_drift,train,1,3.0,-3.0,3,1529060,1.6019580110637293,-3.423549025272577
linear_drift_s03_r04_y0,slow_linear_drift,train,0,3.0,0.0,4,529061,0.6930259944936239,2.2517789212628014
linear_drift_s03_r04_y1,slow_linear_drift,train,1,3.0,3.0,4,1529061,0.0047856587002002016,-0.18712070644183534
linear_drift_s03_r05_y0,slow_linear_drift,train,0,3.0,0.0,5,529062,0.00901566417941524,0.25683242376898074
linear_drift_s03_r05_y1,slow_linear_drift,train,1,3.0,-3.0,5,1529062,1.3421120475879533,-3.133613102743184
linear_drift_s03_r06_y0,slow_linear_drift,train,0,3.0,0.0,6,529063,0.003778250426343277,0.16626328503918522
linear_drift_s03_r06_y1,slow_linear_drift,train,1,3.0,3.0,6,1529063,2.1922763138049675,4.004964149564939
linear_drift_s03_r07_y0,slow_linear_drift,train,0,3.0,0.0,7,529064,0.0026217011672144963,0.13849770622839988
linear_drift_s03_r07_y1,slow_linear_drift,train,1,3.0,-3.0,7,1529064,2.478600874286329,-4.258476807413342
linear_drift_s03_r08_y0,slow_linear_drift,train,0,3.0,0.0,8,529065,0.0034982644343841685,-0.15998427753623892
linear_drift_s03_r08_y1,slow_linear_drift,train,1,3.0,3.0,8,1529065,1.0012377042926843,2.7065720018019883
linear_drift_s03_r09_y0,slow_linear_drift,train,0,3.0,0.0,9,529066,0.4079613452385047,-1.727668816925755
linear_drift_s03_r09_y1,slow_linear_drift,train,1,3.0,-3.0,9,1529066,4.874282717256719,-5.971814992578001
linear_drift_s03_r10_y0,slow_linear_drift,train,0,3.0,0.0,10,529067,0.07496171746176827,0.7405779055701898
linear_drift_s03_r10_y1,slow_linear_drift,train,1,3.0,3.0,10,1529067,1.4286190646694266,3.233026078415803
linear_drift_s03_r11_y0,slow_linear_drift,train,0,3.0,0.0,11,529068,0.7848131297298266,2.3962609866141804
linear_drift_s03_r11_y1,slow_linear_drift,train,1,3.0,-3.0,11,1529068,2.3585633862901005,-4.154079112779496
linear_drift_s03_r12_y0,slow_linear_drift,train,0,3.0,0.0,12,529069,0.007400849487289918,0.23269752978384012
linear_drift_s03_r12_y1,slow_linear_drift,train,1,3.0,3.0,12,1529069,7.541679082957373,7.428224335326378
linear_drift_s03_r13_y0,slow_linear_drift,train,0,3.0,0.0,13,529070,0.01336885219902939,-0.3127505254424987
linear_drift_s03_r13_y1,slow_linear_drift,train,1,3.0,-3.0,13,1529070,3.389771195706416,-4.980078397175591
linear_drift_s03_r14_y0,slow_linear_drift,validation,0,3.0,0.0,14,529071,1.2888747835550802,3.070834071316385
linear_drift_s03_r14_y1,slow_linear_drift,validation,1,3.0,3.0,14,1529071,1.079459307106255,2.81030932626495
linear_drift_s03_r15_y0,slow_linear_drift,validation,0,3.0,0.0,15,529072,7.568955713255178,-7.441645355489137
linear_drift_s03_r15_y1,slow_linear_drift,validation,1,3.0,-3.0,15,1529072,9.155491251990341,-8.184493592825968
linear_drift_s03_r16_y0,slow_linear_drift,validation,0,3.0,0.0,16,529073,2.4273645856029304,-4.214232507112801
linear_drift_s03_r16_y1,slow_linear_drift,validation,1,3.0,3.0,16,1529073,0.6131647501472912,2.118066430347696
linear_drift_s03_r17_y0,slow_linear_drift,validation,0,3.0,0.0,17,529074,0.17802226248679176,-1.1412693267746803
linear_drift_s03_r17_y1,slow_linear_drift,validation,1,3.0,-3.0,17,1529074,4.358291707002962,-5.646887485474754
linear_drift_s03_r18_y0,slow_linear_drift,validation,0,3.0,0.0,18,529075,4.814044479790127,-5.934799294397531
linear_drift_s03_r18_y1,slow_linear_drift,validation,1,3.0,3.0,18,1529075,3.775123732902202,5.255530760376933
linear_drift_s03_r19_y0,slow_linear_drift,test,0,3.0,0.0,19,529076,0.03316669873713707,-0.4926087366995927
linear_drift_s03_r19_y1,slow_linear_drift,test,1,3.0,-3.0,19,1529076,0.10816827742806367,-0.8896126378556949
linear_drift_s03_r20_y0,slow_linear_drift,test,0,3.0,0.0,20,529077,2.1643943663556158,-3.9794145586667438
linear_drift_s03_r20_y1,slow_linear_drift,test,1,3.0,3.0,20,1529077,0.008621323017564464,-0.2511527545298666
linear_drift_s03_r21_y0,slow_linear_drift,test,0,3.0,0.0,21,529078,0.04697782192220501,-0.5862696682025909
linear_drift_s03_r21_y1,slow_linear_drift,test,1,3.0,-3.0,21,1529078,0.7356974805929539,-2.3200675054451807
linear_drift_s03_r22_y0,slow_linear_drift,test,0,3.0,0.0,22,529079,1.726238866078063,3.553869140386912
linear_drift_s03_r22_y1,slow_linear_drift,test,1,3.0,3.0,22,1529079,0.21471924554533217,1.2533907154255384
linear_drift_s03_r23_y0,slow_linear_drift,test,0,3.0,0.0,23,529080,4.418314895373392,5.68563949901677
linear_drift_s03_r23_y1,slow_linear_drift,test,1,3.0,-3.0,23,1529080,0.9221297489147418,-2.5974488474261257
linear_drift_s04_r00_y0,slow_linear_drift,train,0,5.0,0.0,0,729057,0.2510905212209593,1.3553958331143603
linear_drift_s04_r00_y1,slow_linear_drift,train,1,5.0,5.0,0,1729057,1.7954965053706147,3.6244596491193115
linear_drift_s04_r01_y0,slow_linear_drift,train,0,5.0,0.0,1,729058,0.00018848060689435897,0.037135076490593825
linear_drift_s04_r01_y1,slow_linear_drift,train,1,5.0,-5.0,1,1729058,6.898208659458916,-7.104264960551338
linear_drift_s04_r02_y0,slow_linear_drift,train,0,5.0,0.0,2,729059,6.206754337414218,6.738810831578728
linear_drift_s04_r02_y1,slow_linear_drift,train,1,5.0,5.0,2,1729059,1.9525699340328657,3.7796735013414815
linear_drift_s04_r03_y0,slow_linear_drift,train,0,5.0,0.0,3,729060,5.559218313587742,6.377608439600907
linear_drift_s04_r03_y1,slow_linear_drift,train,1,5.0,-5.0,3,1729060,3.8277957701508143,-5.2920673927100825
linear_drift_s04_r04_y0,slow_linear_drift,train,0,5.0,0.0,4,729061,0.09746239605988904,0.8444414233191523
linear_drift_s04_r04_y1,slow_linear_drift,train,1,5.0,5.0,4,1729061,3.0098458661565957,4.692703500887399
linear_drift_s04_r05_y0,slow_linear_drift,train,0,5.0,0.0,5,729062,1.2849595884945089,-3.066166411241546
linear_drift_s04_r05_y1,slow_linear_drift,train,1,5.0,-5.0,5,1729062,0.0005130008344451653,-0.06126465931855099
linear_drift_s04_r06_y0,slow_linear_drift,train,0,5.0,0.0,6,729063,1.4599326986929455,-3.268266067352269
linear_drift_s04_r06_y1,slow_linear_drift,train,1,5.0,5.0,6,1729063,14.789768180919538,10.402354991305735
linear_drift_s04_r07_y0,slow_linear_drift,train,0,5.0,0.0,7,729064,4.4821720617027765,5.726578905513749
linear_drift_s04_r07_y1,slow_linear_drift,train,1,5.0,-5.0,7,1729064,3.4013743038537214,-4.988594462226362
linear_drift_s04_r08_y0,slow_linear_drift,train,0,5.0,0.0,8,729065,0.2702135799804424,1.4060623285960516
linear_drift_s04_r08_y1,slow_linear_drift,train,1,5.0,5.0,8,1729065,1.4772249050011226,3.287564616214983
linear_drift_s04_r09_y0,slow_linear_drift,train,0,5.0,0.0,9,729066,0.34732704977732,1.5941173580457526
linear_drift_s04_r09_y1,slow_linear_drift,train,1,5.0,-5.0,9,1729066,0.026004692036345034,-0.43619114469232206
linear_drift_s04_r10_y0,slow_linear_drift,train,0,5.0,0.0,10,729067,2.044690149055512,-3.8678065040607286
linear_drift_s04_r10_y1,slow_linear_drift,train,1,5.0,5.0,10,1729067,0.5086623942796535,1.9291491353424244
linear_drift_s04_r11_y0,slow_linear_drift,train,0,5.0,0.0,11,729068,3.315331643405905,4.92509346275359
linear_drift_s04_r11_y1,slow_linear_drift,train,1,5.0,-5.0,11,1729068,2.8330756762351115,-4.552815747461954
linear_drift_s04_r12_y0,slow_linear_drift,train,0,5.0,0.0,12,729069,0.6395655065556127,2.1631842070640293
linear_drift_s04_r12_y1,slow_linear_drift,train,1,5.0,5.0,12,1729069,8.498048855525056,7.885161609934412
linear_drift_s04_r13_y0,slow_linear_drift,train,0,5.0,0.0,13,729070,0.0006700184503927176,-0.0700155279745222
linear_drift_s04_r13_y1,slow_linear_drift,train,1,5.0,-5.0,13,1729070,0.20856849068614025,-1.235308233984626
linear_drift_s04_r14_y0,slow_linear_drift,validation,0,5.0,0.0,14,729071,4.280319837688744,-5.596146793509263
linear_drift_s04_r14_y1,slow_linear_drift,validation,1,5.0,5.0,14,1729071,5.29730961701862,6.225563478126223
linear_drift_s04_r15_y0,slow_linear_drift,validation,0,5.0,0.0,15,729072,0.5651687863366277,2.0334807765126706
linear_drift_s04_r15_y1,slow_linear_drift,validation,1,5.0,-5.0,15,1729072,8.394388228377686,-7.8369217863966885
linear_drift_s04_r16_y0,slow_linear_drift,validation,0,5.0,0.0,16,729073,1.0918745486903632,2.8264243012911656
linear_drift_s04_r16_y1,slow_linear_drift,validation,1,5.0,5.0,16,1729073,3.5876486559963325,5.123372580999275
linear_drift_s04_r17_y0,slow_linear_drift,validation,0,5.0,0.0,17,729074,0.3499722007416821,-1.6001760327350758
linear_drift_s04_r17_y1,slow_linear_drift,validation,1,5.0,-5.0,17,1729074,2.6999974776759643,-4.444599839766496
linear_drift_s04_r18_y0,slow_linear_drift,validation,0,5.0,0.0,18,729075,0.07581026604781727,-0.7447576920680797
linear_drift_s04_r18_y1,slow_linear_drift,validation,1,5.0,5.0,18,1729075,15.713654321904606,10.722340252072394
linear_drift_s04_r19_y0,slow_linear_drift,test,0,5.0,0.0,19,729076,5.353760229809268e-06,0.006258646829423675
